storage_day,replicate,tpc_log10,coliform_log10,yeast_mold_log10,psychrophilic_log10,colour_appearance,body_texture,flavour,overall_acceptability,ph,moisture_pct,mean_temperature,min_temperature,max_temperature,temperature_std,temperature_range,temperature_excursion_count,time_above_safe_threshold_ratio,mean_rh,min_rh,max_rh,rh_std,rh_range,compressor_on_ratio,compressor_cycle_count,fridge_open_count,fridge_open_ratio,spoilage_class,spoilage_status
8,1,4.653212513775344,0.8450980400142568,1.4471580313422192,2.681241237375587,5.5,6.5,5.0,5.666666666666667,5.3,49.48,3.902173913043478,2.3,5.7,0.9688232359454827,3.4000000000000004,62,0.4492753623188406,36.90217391304348,35.3,38.7,0.9688232359454828,3.4000000000000057,0.6666666666666666,2,1,0.007246376811594203,2,SPOILED
8,2,4.518513939877887,0.6020599913279624,1.2041199826559248,2.4913616938342726,5.0,6.0,6.0,5.666666666666667,5.31,49.61,3.902173913043478,2.3,5.7,0.9688232359454827,3.4000000000000004,62,0.4492753623188406,36.90217391304348,35.3,38.7,0.9688232359454828,3.4000000000000057,0.6666666666666666,2,1,0.007246376811594203,2,SPOILED
8,3,4.505149978319906,0.9030899869919435,1.414973347970818,2.716003343634799,5.5,6.0,5.5,5.666666666666667,5.26,50.61,3.902173913043478,2.3,5.7,0.9688232359454827,3.4000000000000004,62,0.4492753623188406,36.90217391304348,35.3,38.7,0.9688232359454828,3.4000000000000057,0.6666666666666666,2,1,0.007246376811594203,2,SPOILED
8,4,4.301029995663981,0.9542425094393249,1.3617278360175928,2.7323937598229686,5.5,6.0,6.0,5.833333333333333,5.18,49.73,3.902173913043478,2.3,5.7,0.9688232359454827,3.4000000000000004,62,0.4492753623188406,36.90217391304348,35.3,38.7,0.9688232359454828,3.4000000000000057,0.6666666666666666,2,1,0.007246376811594203,2,SPOILED
8,5,4.491361693834273,0.6989700043360189,1.255272505103306,2.806179973983887,5.5,5.5,6.0,5.666666666666667,5.37,50.57,3.902173913043478,2.3,5.7,0.9688232359454827,3.4000000000000004,62,0.4492753623188406,36.90217391304348,35.3,38.7,0.9688232359454828,3.4000000000000057,0.6666666666666666,2,1,0.007246376811594203,2,SPOILED
9,1,4.826074802700826,0.9542425094393249,1.3424226808222062,3.255272505103306,5.0,5.5,5.0,5.166666666666667,5.25,48.93,3.9565217391304346,2.3,5.7,0.983336270327655,3.4000000000000004,66,0.4782608695652174,36.95652173913044,35.3,38.7,0.9833362703276552,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,2,SPOILED
9,2,4.643452676486188,1.0,1.505149978319906,2.9030899869919438,5.0,5.5,5.0,5.166666666666667,5.24,50.22,3.9565217391304346,2.3,5.7,0.983336270327655,3.4000000000000004,66,0.4782608695652174,36.95652173913044,35.3,38.7,0.9833362703276552,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,2,SPOILED
9,3,4.7160033436347994,1.146128035678238,1.4313637641589874,3.230448921378274,5.0,5.0,4.5,4.833333333333333,5.16,50.3,3.9565217391304346,2.3,5.7,0.983336270327655,3.4000000000000004,66,0.4782608695652174,36.95652173913044,35.3,38.7,0.9833362703276552,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,2,SPOILED
9,4,4.732393759822968,0.9542425094393249,1.5797835966168101,3.380211241711606,5.0,5.5,5.0,5.166666666666667,5.34,49.39,3.9565217391304346,2.3,5.7,0.983336270327655,3.4000000000000004,66,0.4782608695652174,36.95652173913044,35.3,38.7,0.9833362703276552,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,2,SPOILED
9,5,4.903089986991944,0.6989700043360189,1.6434526764861874,3.230448921378274,4.5,5.5,5.5,5.166666666666667,5.25,50.24,3.9565217391304346,2.3,5.7,0.983336270327655,3.4000000000000004,66,0.4782608695652174,36.95652173913044,35.3,38.7,0.9833362703276552,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,2,SPOILED
10,1,4.845098040014257,0.9030899869919435,1.6989700043360187,3.7323937598229686,,,,,5.15,49.96,4.010869565217392,2.3,5.7,0.9990346632370103,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.9990346632370104,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,2,SPOILED
10,2,5.301029995663981,1.0,1.5185139398778875,3.462397997898956,,,,,5.1,49.35,4.010869565217392,2.3,5.7,0.9990346632370103,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.9990346632370104,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,2,SPOILED
10,3,5.146128035678238,1.2787536009528289,1.6812412373755872,3.6720978579357175,,,,,5.17,49.29,4.010869565217392,2.3,5.7,0.9990346632370103,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.9990346632370104,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,2,SPOILED
10,4,5.113943352306837,1.3010299956639813,1.6020599913279623,3.57978359661681,,,,,5.18,49.24,4.010869565217392,2.3,5.7,0.9990346632370103,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.9990346632370104,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,2,SPOILED
